sr_no,district,division,code_no,factory_name,type,tcd,crushing_mt,recovery_pct_2425,frp_rate_pmt,actual_price_payable_lakh,avg_ht_pmt_2425,net_frp_pmt,total_net_frp_payable_lakh,total_ht_paid_lakh,total_frp_paid_incl_ht_lakh,total_frp_paid_excl_ht_lakh,arrears_lakh,pct_frp_paid
115,Dharashiv,Solapur,68201.0,"Ayan Multitrade LLP ( Banganga SSK Ltd.) Idajawala, Tal.Bhoom, Dist.Dharashiv",Pvt.,6000.0,576968.33,10.683,3699.82,21346.78,1092.04,2607.78,15046.05,6300.72,18593.63,12292.91,2753.14,81.7
116,Dharashiv,Solapur,18601.0,Bhairavanaih Sugar Works Ltd. Sonari.LESSEE of i krna shhtkari SAHAKARI SAKJtAR KARKHANA L I D.) A/P- DHOKI. TAI -DHARASHIV. DIST- DHARASHIV,Coop,5000.0,457866.509,9.294,3290.5,15066.1,978.66,2311.84,10585.14,4480.96,10324.49,5843.53,4741.61,55.21
117,Dharashiv,Solapur,54401.0,Bhairavnath Sugar Works Ltd.Indapur (Narsingh) Tal.Washi Dist.Dharashiv,Pvt.,1250.0,62307.159,9.5,3290.5,2050.22,993.85,2296.65,1430.98,619.24,1195.76,576.52,854.46,40.29
118,Ahilyanagar,,35301.0,"Agasti SSK Ltd. Augustinagar, Tal.Akole, Dist. Ahilyanagar",Coop,3500.0,253086.812,11.454,3966.58,10038.9,1056.89,2909.69,7364.05,2674.85,6689.51,4014.66,3349.39,54.521
119,Ahilyanagar,Ahilyanagar,12601.0,Ashok SSK Ltd. Ashoknagar. Tal. Srirampur. Dist. Ahilyanagar,Coop,4000.0,396039.0,11.063,3831.3,15173.43,964.06,2867.24,11355.38,3818.05,8692.19,4874.14,6481.24,42.92
120,Ahilyanagar,Ahilyanagar,13101.0,"Loknete Marutrao Ghule Patil Dnyancshwar SSK Ltd. Dnyaneshwamagar, Po. Bhende, Tel. Nevasa. Dist. Ahilyanagar",Coop,7000.0,941270.0,10.9,3774.9,35532.0,949.74,2825.16,26592.38,8939.62,30677.72,21738.1,4854.28,81.75
121,Ahilyanagar,3>,66001.0,"Prasad Sugar and Allied Agro Products Ltd. Sade Wambori Road. Tal.Rahuri, Dist.Ahilyanagar",Pvt.,4000.0,533492.0,9.73,3370.08,17979.11,1089.85,2280.23,12164.84,5814.26,17577.5,11763.24,401.6,96.7
122,Ahilyanagar,Ahilyanagar,12701.0,"Padmashri Dr. Vitthalrao Vikhe Patil SSK Ltd. Pravaranagar. Tal.Srirampur, Dist.Ahilyanagar",Coop,5000.0,859416.0,11.309,3916.41,33658.29,959.81,2956.6,25409.53,8248.76,26419.33,18170.57,7238.96,71.51
123,Ahilyanagar,Ahilyanagar,12501.0,"Shri Ganesh SSK Ltd. Gancshnagar, Ranjangaon Khu., Tal. Rahata. Dist. Ahilyanagar",Coop,1750.0,200827.795,10.62,3678.02,7386.49,965.73,2712.29,5447.03,1939.45,6385.57,4446.12,1000.91,81.62
124,Ahilyanagar,Ahilyanagar,12901.0,"Sahakar Maharshi Shivajirao Narayanarao Nagwadc Srigonda SSK Ltd. Srigonda, Dist. Ahilyanagar-413 726",Coop,5000.0,581060.351,10.94,3788.74,22014.87,925.65,2863.09,16636.28,5378.59,19558.42,14179.83,2456.45,85.23
125,Ahilyanagar,Ahilyanagar,12401.0,"Karmavcer Shankarao Kale SSK Ltd. Kolpewadi, TaL.Kopargaon, Dist.Ahilyanagar-423 602",Coop,5500.0,522730.905,11.198,3878.01,20271.55,1023.71,2854.3,14920.3,5351.25,20275.22,14923.97,-3.67,100.0
126,Ahilyanagar,,13401.0,"Mula SSK Ltd. Sonai. Tal. Nevasa, Dist. Ahilyanagar-",Coop,7000.0,930680.761,10.999,3809.15,35451.06,1005.11,2804.04,26096.7,9354.37,35451.03,26096.66,0.04,100.0
127,Ahilyanagar,Ahilyanagar,13001.0,"Sahakar Maharshi Bliausaheb Thorat SSK Ltd. Amritnagar, Tal. Sangamner, Dist.Ah:lyanagar-422 60S",Coop,6000.0,649516.04,11.504,3983.88,25875.97,1046.12,2937.76,19081.25,6794.72,25875.97,19081.25,0.0,100.0
128,Ahilyanagar,"f,",12301.0,"Sahakar Maharshi Sltankaraoji Kolhe SSK Ltd. Sahajanandnagar, Po.Shingnapur, Tal. Kopargaon. Dist.Ahilyanagar-423 603",Coop,6000.0,496964.639,10.527,3645.84,18118.55,952.63,2693.21,13384.31,4734.23,18118.53,13384.3,0.01,100.0
129,Ahilyanagar,Ahilyanagar,13201.0,"shri.Vriddheshwar SSK Ltd. Adinath Nagar, Tal.Pathardi, Dist.Ahilyanagar",Coop,2500.0,317062.0,10.587,3666.6,11625.4,859.28,2807.32,8900.95,2724.45,6308.03,3583.58,5317.37,40.261
130,Ahilyanagar,Ahilyanagar,39001.0,"Shri. Kedareshwar SSK Ltd. A/P.Bodhegaon, Tal.Shevgaon, Dist. Ahilyanagar-414 503",Coop,2500.0,182256.035,9.396,3290.5,5997.13,988.42,2302.08,4195.68,1801.46,4343.18,2541.72,1653.96,60.58
131,Ahilyanagar,Ahilyanagar,13301.0,"Indicon Developers Pvt. Ltd.A/P. Ambikanagar. Tal.Karjant, Dist. Ahilyanagar",Pvt.,12500.0,1410061.0,11.329,3923.33,55321.4,1055.91,2867.42,40432.43,14888.98,49167.98,34279.0,6153.43,84.78
132,Ahilyanagar,Ahilyanagar,67301.0,"Jayshrccram Sugar and Agro Products Ltd. Hadgaon, Tal.Jamkhed, Dist. Ahilyanagar",Pvt.,2000.0,301289.0,11.035,3821.61,11514.09,955.87,2865.74,8634.16,2879.93,8193.39,5313.46,3320.7,61.54
133,Ahilyanagar,Ahilyanagar,51101.0,"Gangamai Industries and Construction Ltd. Najik Babhulgaon, Tal. Shevgaon, Dist. Ahilyanagar",Pvt.,5500.0,902728.182,10.259,3553.11,32074.96,983.11,2570.0,23200.15,8874.81,25500.51,16625.7,6574.45,71.66
134,Ahilyanagar,Ahilyanagar,13501.0,"Shri. Kranti Sugar and Power Ltd. Post. Devi Bhoyrc. Tal.Parncr, Dist. Ahilyanagar",Pvt.,3750.0,256481.19,11.554,4001.18,10262.28,1067.52,2933.66,7524.3,2737.99,7754.72,5016.73,2507.57,66.67
